name,color
organ_acoustic_000-024-127,#00007f
organ_acoustic_000-025-127,#000084
organ_acoustic_000-026-127,#000088
organ_acoustic_000-027-127,#000091
organ_acoustic_000-028-127,#000096
organ_acoustic_000-029-127,#00009f
organ_acoustic_000-030-127,#0000a3
organ_acoustic_000-031-127,#0000ac
organ_acoustic_000-032-127,#0000b1
organ_acoustic_000-033-127,#0000ba
organ_acoustic_000-034-127,#0000bf
organ_acoustic_000-035-127,#0000c8
organ_acoustic_000-036-127,#0000cc
organ_acoustic_000-037-127,#0000d1
organ_acoustic_000-038-127,#0000da
organ_acoustic_000-039-127,#0000de
organ_acoustic_000-040-127,#0000e8
organ_acoustic_000-041-127,#0000ec
organ_acoustic_000-042-127,#0000f5
organ_acoustic_000-043-127,#0000fa
organ_acoustic_000-044-127,#0000ff
organ_acoustic_000-045-127,#0000ff
organ_acoustic_000-046-127,#0000ff
organ_acoustic_000-047-127,#0004ff
organ_acoustic_000-048-127,#0008ff
organ_acoustic_000-049-127,#0010ff
organ_acoustic_000-050-127,#0014ff
organ_acoustic_000-051-127,#001cff
organ_acoustic_000-052-127,#0020ff
organ_acoustic_000-053-127,#0028ff
organ_acoustic_001-036-127,#002cff
organ_acoustic_001-037-127,#0034ff
organ_acoustic_001-038-127,#0038ff
organ_acoustic_001-039-127,#0040ff
organ_acoustic_001-040-127,#0044ff
organ_acoustic_001-041-127,#004cff
organ_acoustic_001-042-127,#0050ff
organ_acoustic_001-043-127,#0054ff
organ_acoustic_001-044-127,#005cff
organ_acoustic_001-045-127,#0060ff
organ_acoustic_001-046-127,#0068ff
organ_acoustic_001-047-127,#006cff
organ_acoustic_001-048-127,#0074ff
organ_acoustic_001-049-127,#0078ff
organ_acoustic_001-050-127,#0080ff
organ_acoustic_001-051-127,#0084ff
organ_acoustic_001-052-127,#008cff
organ_acoustic_001-053-127,#0090ff
organ_acoustic_001-054-127,#0094ff
organ_acoustic_001-055-127,#009cff
organ_acoustic_001-056-127,#00a0ff
organ_acoustic_001-057-127,#00a8ff
organ_acoustic_001-058-127,#00acff
organ_acoustic_001-059-127,#00b4ff
organ_acoustic_001-060-127,#00b8ff
organ_acoustic_001-061-127,#00c0ff
organ_acoustic_001-062-127,#00c4ff
organ_acoustic_001-063-127,#00ccff
organ_acoustic_001-064-127,#00d0ff
organ_acoustic_001-065-127,#00d4ff
organ_acoustic_001-066-127,#00dcfe
organ_acoustic_001-067-127,#00e0fa
organ_acoustic_001-068-127,#02e8f4
organ_acoustic_001-069-127,#05ecf1
organ_acoustic_001-070-127,#0cf4ea
organ_acoustic_001-071-127,#0ff8e7
organ_acoustic_001-072-127,#15ffe1
organ_acoustic_001-073-127,#18ffdd
organ_acoustic_001-074-127,#1fffd7
organ_acoustic_001-075-127,#22ffd4
organ_acoustic_001-076-127,#29ffcd
organ_acoustic_001-077-127,#2cffca
organ_acoustic_001-078-127,#2fffc7
organ_acoustic_001-079-127,#36ffc0
organ_acoustic_001-080-127,#39ffbd
organ_acoustic_001-081-127,#3fffb7
organ_acoustic_001-082-127,#42ffb3
organ_acoustic_001-083-127,#49ffad
organ_acoustic_001-084-127,#4cffaa
organ_acoustic_001-085-127,#53ffa3
organ_acoustic_001-086-127,#56ffa0
organ_acoustic_001-087-127,#5cff9a
organ_acoustic_001-088-127,#5fff96
organ_acoustic_001-089-127,#63ff93
organ_acoustic_001-090-127,#69ff8d
organ_acoustic_001-091-127,#6cff89
organ_acoustic_001-092-127,#73ff83
organ_acoustic_001-093-127,#76ff80
organ_acoustic_002-036-127,#7cff79
organ_acoustic_002-037-127,#80ff76
organ_acoustic_002-038-127,#86ff70
organ_acoustic_002-039-127,#89ff6c
organ_acoustic_002-040-127,#90ff66
organ_acoustic_002-041-127,#93ff63
organ_acoustic_002-042-127,#96ff5f
organ_acoustic_002-043-127,#9dff59
organ_acoustic_002-044-127,#a0ff56
organ_acoustic_002-045-127,#a6ff4f
organ_acoustic_002-046-127,#aaff4c
organ_acoustic_002-047-127,#b0ff46
organ_acoustic_002-048-127,#b3ff42
organ_acoustic_002-049-127,#baff3c
organ_acoustic_002-050-127,#bdff39
organ_acoustic_002-051-127,#c3ff32
organ_acoustic_002-052-127,#c7ff2f
organ_acoustic_002-053-127,#cdff29
organ_acoustic_002-054-127,#d0ff25
organ_acoustic_002-055-127,#d4ff22
organ_acoustic_002-056-127,#daff1c
organ_acoustic_002-057-127,#ddff18
organ_acoustic_002-058-127,#e4ff12
organ_acoustic_002-059-127,#e7ff0f
organ_acoustic_002-060-127,#edff08
organ_acoustic_002-061-127,#f1fc05
organ_acoustic_002-062-127,#f7f400
organ_acoustic_002-063-127,#faf000
organ_acoustic_002-064-127,#ffe900
organ_acoustic_002-065-127,#ffe500
organ_acoustic_002-066-127,#ffe200
organ_acoustic_002-067-127,#ffda00
organ_acoustic_002-068-127,#ffd700
organ_acoustic_002-069-127,#ffcf00
organ_acoustic_002-070-127,#ffcb00
organ_acoustic_002-071-127,#ffc400
organ_acoustic_002-072-127,#ffc000
organ_acoustic_002-073-127,#ffb900
organ_acoustic_002-074-127,#ffb500
organ_acoustic_002-075-127,#ffae00
organ_acoustic_002-076-127,#ffaa00
organ_acoustic_002-077-127,#ffa600
organ_acoustic_002-078-127,#ff9f00
organ_acoustic_002-079-127,#ff9b00
organ_acoustic_002-080-127,#ff9400
organ_acoustic_002-081-127,#ff9000
organ_acoustic_002-082-127,#ff8900
organ_acoustic_002-083-127,#ff8500
organ_acoustic_002-084-127,#ff7e00
organ_acoustic_002-085-127,#ff7a00
organ_acoustic_002-086-127,#ff7300
organ_acoustic_002-087-127,#ff6f00
organ_acoustic_002-088-127,#ff6700
organ_acoustic_002-089-127,#ff6400
organ_acoustic_002-090-127,#ff6000
organ_acoustic_002-091-127,#ff5900
organ_acoustic_002-092-127,#ff5500
organ_acoustic_002-093-127,#ff4d00
organ_acoustic_003-024-127,#ff4a00
organ_acoustic_003-025-127,#ff4200
organ_acoustic_003-026-127,#ff3f00
organ_acoustic_003-027-127,#ff3700
organ_acoustic_003-028-127,#ff3400
organ_acoustic_003-029-127,#ff2c00
organ_acoustic_003-030-127,#ff2800
organ_acoustic_003-031-127,#ff2500
organ_acoustic_003-032-127,#ff1d00
organ_acoustic_003-033-127,#ff1a00
organ_acoustic_003-034-127,#fe1200
organ_acoustic_003-035-127,#fa0f00
organ_acoustic_003-036-127,#f10700
organ_acoustic_003-037-127,#ec0300
organ_acoustic_003-038-127,#e30000
organ_acoustic_003-039-127,#de0000
organ_acoustic_003-040-127,#d50000
organ_acoustic_003-041-127,#d10000
organ_acoustic_003-042-127,#cc0000
organ_acoustic_003-043-127,#c30000
organ_acoustic_003-044-127,#bf0000
organ_acoustic_003-045-127,#b60000
organ_acoustic_003-046-127,#b10000
organ_acoustic_003-047-127,#a80000
organ_acoustic_003-048-127,#a30000
organ_acoustic_003-049-127,#9a0000
organ_acoustic_003-050-127,#960000
organ_acoustic_003-051-127,#8d0000
organ_acoustic_003-052-127,#880000
organ_acoustic_003-053-127,#7f0000
